student_record_id,Mon330,Mon430,Mon530,Tue330,Tue430,Tue530,Wed330,Wed430,Wed530,Thur330,Thur430,Thur530,current_time,cohort,current_tutor,level,platform,level_platform,n_impossible,n_difficult,n_doable,n_easy
rec7FU68OWcNhJr3g,0,0,0,0,0,0,4,0,0,4,0,0,16:15,A11,Selasie,Advanced,LiveCode,AdvancedLiveCode,10,0,0,2
recusAbHZ2bouI1Bh,0,0,0,0,0,4,0,0,0,0,0,1,16:15,B10,Tiffany,Beginner,Scratch,BeginnerScratch,10,1,0,1
recuXkJGYO8Potiem,0,0,0,0,0,0,0,0,0,0,4,1,16:15,A12,Louise,Advanced,Scratch,AdvancedScratch,10,1,0,1
receeX3hEhHd2xFVD,0,0,0,0,0,0,1,0,0,4,0,0,15:00,A10,Greg,Advanced,LiveCode,AdvancedLiveCode,10,1,0,1
recZPYoFXABoDQrL6,0,0,4,0,0,0,0,0,0,0,0,4,17:30,B12,Bilqees,Beginner,Scratch,BeginnerScratch,10,0,0,2
recYh6fgiUmTaJ9lZ,0,2,2,0,0,0,0,0,0,0,0,0,17:30,I12,Julian,Intermediate1,Scratch,Intermediate1Scratch,10,0,2,0
recE66LIwmFtC5eYP,0,0,2,0,0,1,0,0,0,0,0,0,17:30,A12,Greg,Advanced,Scratch,AdvancedScratch,10,1,1,0
recoBi4PXbPidmUXe,0,0,0,0,0,0,0,2,4,0,0,0,17:30,B12,Bilqees,Beginner,Scratch,BeginnerScratch,10,0,1,1
recNSkflwqDFo2mcy,0,0,4,0,0,0,0,0,2,0,0,0,17:30,A11,Imaan,Advanced,LiveCode,AdvancedLiveCode,10,0,1,1
rec75gdKtPMyPJ9fB,0,2,0,0,0,0,0,0,4,0,0,0,16:15,I13,Julian,Intermediate1,Scratch,Intermediate1Scratch,10,0,1,1
recnY0TKt3f3cJRzc,0,0,1,0,0,2,0,0,0,0,0,0,17:30,P13,Bilqees,PreBeginner,Scratch,PreBeginnerScratch,10,1,1,0
recqNgDIHdHiEgk45,0,1,4,0,0,0,0,0,0,0,0,0,17:30,I12,Julian,Intermediate1,Scratch,Intermediate1Scratch,10,1,0,1
recBG2sn4FRwBLVwG,0,0,4,0,0,0,0,0,0,0,0,4,17:30,I12,Joseph,Intermediate1,Scratch,Intermediate1Scratch,10,0,0,2
recgHOwaWqrCYguOM,4,0,0,0,0,0,4,0,0,0,0,0,15:00,I12,Liza,Intermediate1,Scratch,Intermediate1Scratch,10,0,0,2
rec1lwfedHKVcLPG7,4,1,0,0,0,0,0,0,0,0,0,0,16:15,A13,Jenna,Advanced,Scratch,AdvancedScratch,10,1,0,1
recyIodOGPDvu9h3D,0,0,0,0,2,4,0,0,0,0,0,0,16:15,B12,Kiah,Beginner,Scratch,BeginnerScratch,10,0,1,1
recVGHqY86WPnNtvM,0,0,0,0,0,0,0,0,2,0,0,2,16:15,B10,Miche,Beginner,Scratch,BeginnerScratch,10,0,2,0
reciQrC0AJX4FRHAA,0,0,0,0,0,0,0,0,0,0,4,4,16:15,B11,Tiffany,Beginner,Scratch,BeginnerScratch,10,0,0,2
recpKGxk6icmxerr4,0,0,0,0,0,4,0,0,0,0,0,4,15:00,I8,Liza,Intermediate2,Scratch,Intermediate2Scratch,10,0,0,2
recmbSPA6EHdr1I1D,0,0,0,0,0,0,4,4,0,0,0,0,16:15,I13,Jenna,Intermediate1,Scratch,Intermediate1Scratch,10,0,0,2
recSRSsACrEoeR7Vv,0,4,4,0,0,0,0,0,0,0,0,0,17:30,A8,Michael,Advanced,Python,AdvancedPython,10,0,0,2
reccjoqHqTR9ZfYtK,0,0,0,0,0,0,2,4,0,0,0,0,16:15,B10,Dieter,Beginner,Scratch,BeginnerScratch,10,0,1,1
recumfEvieihE6EiP,0,4,0,0,0,0,0,4,0,0,0,0,16:15,B10,Dieter,Beginner,Scratch,BeginnerScratch,10,0,0,2
recaeI9D0IDJ2D7ZW,0,0,0,0,1,4,0,0,0,0,0,0,17:30,A11,Imaan,Advanced,LiveCode,AdvancedLiveCode,10,1,0,1
recqSXsZGmOMuVapA,0,0,0,0,0,0,4,0,0,4,0,0,16:15,A12,Imaan,Advanced,Scratch,AdvancedScratch,10,0,0,2
recBAYZUoE3w8FUle,0,4,1,0,0,0,0,0,0,0,0,0,16:15,I8,Liza,Intermediate2,Scratch,Intermediate2Scratch,10,1,0,1
recUZat5VwMbXUPpu,0,0,0,0,0,4,0,0,0,0,0,2,17:30,B11,Kiah,Beginner,Scratch,BeginnerScratch,10,0,1,1
rec8kf10SBtK7SjtK,0,0,0,0,0,4,0,0,0,0,0,1,17:30,A7,Dan,Advanced,Python,AdvancedPython,10,1,0,1
rec59FaBu8qqI49rh,0,2,4,0,0,0,0,0,0,0,0,0,17:30,I12,Julian,Intermediate1,Scratch,Intermediate1Scratch,10,0,1,1
recwf7lpAPEEmxGRI,0,0,0,0,0,0,0,0,1,0,0,4,17:30,B10,Christine,Beginner,Scratch,BeginnerScratch,10,1,0,1
recHVmWJ5VVrYN02d,0,0,2,0,0,0,0,0,2,0,0,0,17:30,I12,Julian,Intermediate1,Scratch,Intermediate1Scratch,10,0,2,0
recJtEA5m2q56px7q,0,0,0,0,0,0,0,0,0,4,1,0,16:15,A12,Louise,Advanced,Scratch,AdvancedScratch,10,1,0,1
recwVdGHjoVkNvoEG,0,0,4,0,0,4,0,0,0,0,0,0,17:30,I11,Dan,Intermediate2,Scratch,Intermediate2Scratch,10,0,0,2
rec2sEieigF3YjtvA,0,0,4,0,0,0,0,0,2,0,0,0,16:15,I8,Liza,Intermediate2,Scratch,Intermediate2Scratch,10,0,1,1
recSvFXyHqQJNrVvX,0,0,2,0,0,0,0,0,0,0,0,4,17:30,I11,Liza,Intermediate2,Scratch,Intermediate2Scratch,10,0,1,1
recf7qBI1vHlf0KPd,0,0,0,4,0,0,4,0,0,0,0,0,15:00,I12,Liza,Intermediate1,Scratch,Intermediate1Scratch,10,0,0,2
recCkKOnMvIeccBXi,0,0,0,0,0,2,0,0,2,0,0,0,15:00,I11,Louise,Intermediate2,Scratch,Intermediate2Scratch,10,0,2,0
recMfcAw4moPEHGar,0,0,0,0,0,2,0,0,0,0,0,2,16:15,A12,Louise,Advanced,Scratch,AdvancedScratch,10,0,2,0
recWntGlsVa8dgYxx,0,4,2,0,0,0,0,0,0,0,0,0,16:15,I10,Dan,Intermediate2,Scratch,Intermediate2Scratch,10,0,1,1
rec6YSK61FjT6hqiA,0,0,2,0,0,0,0,0,2,0,0,0,15:00,B13,Dieter,Beginner,Scratch,BeginnerScratch,10,0,2,0
rece11qOHpimZSI54,0,0,0,2,0,0,0,0,2,0,0,0,17:30,A11,Imaan,Advanced,LiveCode,AdvancedLiveCode,10,0,2,0
recgu3qo94sQ3dhvf,0,0,4,0,0,0,1,0,0,0,0,0,17:30,B10,Christine,Beginner,Scratch,BeginnerScratch,10,1,0,1
recl5g1zFI3Pz96xN,0,0,0,0,0,0,0,0,0,0,4,1,16:15,B11,Tiffany,Beginner,Scratch,BeginnerScratch,10,1,0,1
recRHEPApRUWoGEk9,0,0,2,0,0,0,0,0,4,0,0,0,17:30,A13,Jenna,Advanced,Scratch,AdvancedScratch,10,0,1,1
rec9sOKMWq1re0xod,0,0,2,0,0,0,0,0,2,0,0,0,17:30,A7,Jenna,Advanced,Python,AdvancedPython,10,0,2,0
recnhDH98wz3cC6aw,0,0,0,0,0,4,0,0,2,0,0,1,17:30,I11,Dan,Intermediate2,Scratch,Intermediate2Scratch,9,1,1,1
rec0thHD9zoNusmZX,4,0,0,4,0,0,4,0,0,0,0,0,17:30,A12,David,Advanced,Scratch,AdvancedScratch,9,0,0,3
recRFjeVjU98ypgRC,0,0,0,0,0,1,0,0,4,0,0,1,17:30,A8,Greg,Advanced,Python,AdvancedPython,9,2,0,1
rec1QDOvgKR2Y3xoi,0,0,0,0,0,0,0,0,4,0,2,4,16:15,I10,Liza,Intermediate2,Scratch,Intermediate2Scratch,9,0,1,2
recCTCGyYErAJDM7V,0,0,0,0,0,4,0,0,4,0,0,4,17:30,A8,Michael,Advanced,Python,AdvancedPython,9,0,0,3
rec7sYoRzGEoOBexi,0,0,1,0,0,4,0,0,0,0,0,4,17:30,A9,Vivienne,Advanced,LiveCode,AdvancedLiveCode,9,1,0,2
recQjWKCmy312Ho8K,0,0,2,0,0,0,0,0,1,4,0,0,15:00,B10,Dieter,Beginner,Scratch,BeginnerScratch,9,1,1,1
recl64z68PiRmciYO,0,0,0,0,0,0,0,0,0,1,4,2,16:15,A8,Greg,Advanced,Python,AdvancedPython,9,1,1,1
recufucdxVDk2Qi2i,0,0,4,0,0,0,0,0,2,0,0,2,17:30,A10,Matthew,Advanced,LiveCode,AdvancedLiveCode,9,0,2,1
recfZBrpWWM32JHJf,0,0,0,0,2,2,0,0,0,0,0,2,16:15,B12,Kiah,Beginner,Scratch,BeginnerScratch,9,0,3,0
recPdXIOiaEGsUKke,0,2,4,0,0,2,0,0,0,0,0,0,17:30,B11,Dieter,Beginner,Scratch,BeginnerScratch,9,0,2,1
rectee0qu5RIhqqVC,0,0,0,2,4,1,0,0,0,0,0,0,16:15,A10,Michael,Advanced,LiveCode,AdvancedLiveCode,9,1,1,1
recEr5H3TUjtXlNw8,4,2,0,0,2,0,0,0,0,0,0,0,16:15,I9,Joseph,Intermediate2,Scratch,Intermediate2Scratch,9,0,2,1
recdPq9kLfNVHiqZH,0,1,0,0,4,0,0,2,0,0,0,0,16:15,I13,Jenna,Intermediate1,Scratch,Intermediate1Scratch,9,1,1,1
recpLOpgbwsueRHiX,4,0,0,4,0,0,0,0,0,4,0,0,15:00,A10,Greg,Advanced,LiveCode,AdvancedLiveCode,9,0,0,3
rectBuMbrNjWaCBGL,0,0,0,0,0,4,0,0,1,0,0,2,17:30,A11,Imaan,Advanced,LiveCode,AdvancedLiveCode,9,1,1,1
recn8gocNJOtMCdD5,0,0,1,0,0,1,0,0,0,0,0,2,17:30,A13,Matthew,Advanced,Scratch,AdvancedScratch,9,2,1,0
rec1khCqw7f1p4jQL,0,0,0,0,4,0,0,2,0,0,2,0,17:30,B10,Miche,Beginner,Scratch,BeginnerScratch,9,0,2,1
recLIxCZ5lhRQjYRA,0,4,0,0,0,0,0,2,0,0,2,0,16:15,I9,Joseph,Intermediate2,Scratch,Intermediate2Scratch,9,0,2,1
recRwn5FczgNXdwjj,0,0,0,0,0,2,0,0,2,0,0,2,17:30,A7,Dan,Advanced,Python,AdvancedPython,9,0,3,0
recc12v0ACmLqw5XL,0,0,0,0,0,1,0,0,0,0,4,1,16:15,A11,Matthew,Advanced,LiveCode,AdvancedLiveCode,9,2,0,1
recGIUhxn2jNhHPew,0,0,4,0,0,4,0,0,0,0,0,4,15:00,A8,Greg,Advanced,Python,AdvancedPython,9,0,0,3
recnnWWD1CIns5o26,0,0,4,0,0,4,0,0,0,0,0,4,17:30,I8,Louise,Intermediate2,Scratch,Intermediate2Scratch,9,0,0,3
recD3zH13FQ92dVwo,0,0,4,0,0,4,0,0,0,0,0,4,17:30,I10,Miche,Intermediate2,Scratch,Intermediate2Scratch,9,0,0,3
recerLgLuRGRmPaHn,0,0,4,0,0,1,0,0,1,0,0,0,16:15,I9,Joseph,Intermediate2,Scratch,Intermediate2Scratch,9,2,0,1
recXiJIG4x0vYFIWT,0,0,0,0,0,1,0,0,4,0,0,1,16:15,I9,Hendrik,Intermediate2,Scratch,Intermediate2Scratch,9,2,0,1
recQuNZltRwEqwGca,0,0,0,0,0,4,0,0,4,0,0,4,17:30,B11,Dieter,Beginner,Scratch,BeginnerScratch,9,0,0,3
recl7bIo8LlINtCAO,0,0,4,0,0,2,0,0,4,0,0,0,17:30,A11,Imaan,Advanced,LiveCode,AdvancedLiveCode,9,0,1,2
recycRYVfRtscJbh5,0,0,4,0,0,4,0,0,1,0,0,0,17:30,A13,Jenna,Advanced,Scratch,AdvancedScratch,9,1,0,2
recFSdwYfNCB63RGQ,0,0,4,0,0,2,0,0,1,0,0,0,17:30,A10,Matthew,Advanced,LiveCode,AdvancedLiveCode,9,1,1,1
recyMfLnW4BzUQABw,0,0,2,0,0,4,0,0,0,0,0,2,17:30,A8,Greg,Advanced,Python,AdvancedPython,9,0,2,1
rec8uDpfcgBydaIze,0,0,1,0,0,4,0,0,4,0,0,0,17:30,B10,Christine,Beginner,Scratch,BeginnerScratch,9,1,0,2
recDBvlwxzRVWq0XR,0,4,0,0,4,0,0,4,0,0,0,0,16:15,B12,Tiffany,Beginner,Scratch,BeginnerScratch,9,0,0,3
recPn6F6RxH6e0lJg,2,4,4,0,0,0,0,0,0,0,0,0,16:15,I10,Dan,Intermediate2,Scratch,Intermediate2Scratch,9,0,1,2
rec7WvMWigYLUHi9n,0,0,4,0,0,0,0,0,4,0,0,4,17:30,A10,Matthew,Advanced,LiveCode,AdvancedLiveCode,9,0,0,3
recIZn8r7LPc6VEEl,2,0,0,0,0,0,1,0,0,1,0,0,16:15,A12,Imaan,Advanced,Scratch,AdvancedScratch,9,2,1,0
recJOwyvfKq0349LW,1,0,0,1,0,0,0,0,0,4,0,0,16:15,A11,Selasie,Advanced,LiveCode,AdvancedLiveCode,9,2,0,1
rec8ORsGdxQvw8IZy,0,0,4,0,0,2,0,0,2,0,0,0,17:30,B10,Christine,Beginner,Scratch,BeginnerScratch,9,0,2,1
recXQX2lt4znZVom4,0,0,0,0,0,0,1,2,4,0,0,0,17:30,B11,Kiah,Beginner,Scratch,BeginnerScratch,9,1,1,1
recRvVZWwQzQt2nLL,0,0,0,0,2,0,0,2,0,0,2,0,16:15,I10,Liza,Intermediate2,Scratch,Intermediate2Scratch,9,0,3,0
recvq91zXsKsIhYWD,0,0,2,0,0,4,0,0,4,0,0,0,17:30,A7,Dan,Advanced,Python,AdvancedPython,9,0,1,2
recBJxS2WhOXr4Emg,1,2,0,0,2,0,0,1,0,0,0,0,16:15,A8,Greg,Advanced,Python,AdvancedPython,8,2,2,0
recLeTX0lFlwjv7BJ,0,0,4,4,0,0,0,2,2,0,0,0,16:15,A11,Selasie,Advanced,LiveCode,AdvancedLiveCode,8,0,2,2
rec62bXciDyB8uLzv,1,0,0,4,0,0,4,0,0,2,0,0,15:00,B10,Dieter,Beginner,Scratch,BeginnerScratch,8,1,1,2
rec8DMIMc4vKUff5b,0,0,1,0,0,4,0,0,1,0,0,4,17:30,I12,Joseph,Intermediate1,Scratch,Intermediate1Scratch,8,2,0,2
recOpA9e0ndb7fcjR,0,0,4,0,0,4,0,0,4,0,0,4,17:30,A10,Matthew,Advanced,LiveCode,AdvancedLiveCode,8,0,0,4
recw7BMdkj3utJuF2,0,0,4,0,0,4,0,0,4,0,0,4,16:15,I9,Joseph,Intermediate2,Scratch,Intermediate2Scratch,8,0,0,4
recZFpMtcKs3wWTeg,0,0,4,0,1,0,0,0,1,4,0,0,17:30,I10,Miche,Intermediate2,Scratch,Intermediate2Scratch,8,2,0,2
recqaJS7zNaVGCoZ1,0,0,0,4,1,0,0,0,0,2,1,0,15:00,B10,Dieter,Beginner,Scratch,BeginnerScratch,8,2,1,1
recun7y76UKJvKB2q,0,0,4,1,1,1,0,0,0,0,0,0,17:30,A12,Greg,Advanced,Scratch,AdvancedScratch,8,3,0,1
recaVH5dcdzTEzMim,0,2,0,0,2,0,0,4,0,0,2,0,16:15,I10,David,Intermediate2,Scratch,Intermediate2Scratch,8,0,3,1
recsme8LlSH0nSCAe,0,0,4,0,0,4,0,0,4,0,0,4,17:30,A7,Dan,Advanced,Python,AdvancedPython,8,0,0,4
recTAofIjKM1GUOkt,0,0,2,0,0,2,0,0,2,0,0,2,17:30,B12,Bilqees,Beginner,Scratch,BeginnerScratch,8,0,4,0
recprZh1aLE5NQiW0,0,0,4,0,0,1,0,0,4,0,0,1,17:30,A8,Michael,Advanced,Python,AdvancedPython,8,2,0,2
rec8CP3Cy2sgQrfhv,0,0,4,0,0,0,0,0,2,0,2,2,17:30,A8,Michael,Advanced,Python,AdvancedPython,8,0,3,1
rece6sfLnfj94eXaR,2,0,0,4,0,0,4,0,0,1,0,0,15:00,A8,Greg,Advanced,Python,AdvancedPython,8,1,1,2
recWd0CrO9X7dyf8j,0,0,4,0,0,4,0,0,4,0,0,4,17:30,I9,David,Intermediate2,Scratch,Intermediate2Scratch,8,0,0,4
recZGCwvC1CEJivUB,0,0,4,0,0,4,0,0,4,0,0,4,17:30,A11,Imaan,Advanced,LiveCode,AdvancedLiveCode,8,0,0,4
rec6mRuD5DXHqBEit,0,0,4,0,0,4,0,0,4,0,0,4,16:15,B12,Kiah,Beginner,Scratch,BeginnerScratch,8,0,0,4
reccODXXjSTSxTpg6,1,4,4,0,0,0,0,0,0,0,0,1,17:30,B13,Dieter,Beginner,Scratch,BeginnerScratch,8,2,0,2
recEEaA7wl1KAUHz9,0,0,0,0,0,1,0,0,2,0,1,4,17:30,A13,Matthew,Advanced,Scratch,AdvancedScratch,8,2,1,1
rec91VenTQCwCZxM6,0,2,0,0,2,0,0,4,0,0,4,0,17:30,A10,Michael,Advanced,LiveCode,AdvancedLiveCode,8,0,2,2
recJUI8mnf0LjNgbI,0,0,0,2,2,1,0,0,0,0,0,4,17:30,A10,Michael,Advanced,LiveCode,AdvancedLiveCode,8,1,2,1
recgocfxBsyuhD6z1,0,0,1,0,0,4,0,0,2,0,0,2,17:30,A8,Michael,Advanced,Python,AdvancedPython,8,1,2,1
rec2MadsC4Ljhe7fC,0,0,2,0,0,2,0,0,2,0,0,2,17:30,B13,Dieter,Beginner,Scratch,BeginnerScratch,8,0,4,0
recbgNxS4zZgZ3b31,0,4,0,0,4,0,0,4,0,0,4,0,16:15,B12,Kiah,Beginner,Scratch,BeginnerScratch,8,0,0,4
recte8kYfBUgdOCH8,0,0,4,0,0,4,0,0,4,0,0,4,17:30,B10,Christine,Beginner,Scratch,BeginnerScratch,8,0,0,4
rec4jCao56mjNunrJ,0,0,1,0,0,4,0,0,1,0,0,4,17:30,B11,Dieter,Beginner,Scratch,BeginnerScratch,8,2,0,2
recOMbCtJWoc2FIJX,0,0,4,0,0,2,0,0,2,0,0,2,17:30,I10,Miche,Intermediate2,Scratch,Intermediate2Scratch,8,0,3,1
recPZ7540448TegME,0,0,2,0,0,2,0,0,2,0,0,2,17:30,A8,Greg,Advanced,Python,AdvancedPython,8,0,4,0
reckcrfwpRzKeFVrO,0,0,0,0,2,4,0,2,4,0,0,0,17:30,A8,Greg,Advanced,Python,AdvancedPython,8,0,2,2
rec9tXMCymVLAdWJ6,0,4,0,0,2,0,0,2,0,0,2,0,16:15,I10,Miche,Intermediate2,Scratch,Intermediate2Scratch,8,0,3,1
recVklHJV00IMaGMY,2,0,0,0,0,0,4,4,1,0,0,0,15:00,A8,Greg,Advanced,Python,AdvancedPython,8,1,1,2
recZ9VHaofoOKmhib,0,0,0,0,2,2,0,0,0,0,2,2,17:30,B12,Jess,Beginner,Scratch,BeginnerScratch,8,0,4,0
recM4FGH6RhjWVV18,0,0,4,0,4,0,0,4,0,0,0,4,17:30,A12,Greg,Advanced,Scratch,AdvancedScratch,8,0,0,4
recqpowYrPjfd7awb,0,0,1,0,0,4,0,0,4,0,0,4,17:30,I9,David,Intermediate2,Scratch,Intermediate2Scratch,8,1,0,3
recfWXRZPWIvWglHd,2,4,0,2,4,0,0,0,0,0,0,0,16:15,A10,Matthew,Advanced,LiveCode,AdvancedLiveCode,8,0,2,2
recNUhc6VhNSWOw94,0,0,4,0,1,0,0,1,0,0,1,0,16:15,A13,Jenna,Advanced,Scratch,AdvancedScratch,8,3,0,1
recvu5TU1oi3UFFzD,0,0,0,0,1,4,0,0,0,0,1,4,17:30,B11,Kiah,Beginner,Scratch,BeginnerScratch,8,2,0,2
rec6l9URqB1oY5bu4,0,0,4,0,0,4,0,0,4,0,0,4,16:15,A12,Imaan,Advanced,Scratch,AdvancedScratch,8,0,0,4
recHlY5lqssRoYch6,0,0,4,1,0,0,0,0,2,1,0,0,17:30,A10,Matthew,Advanced,LiveCode,AdvancedLiveCode,8,2,1,1
recNfcSMtixfKkYlh,0,0,2,0,0,2,0,0,2,0,0,1,17:30,B12,Bilqees,Beginner,Scratch,BeginnerScratch,8,1,3,0
recu9Q35VEtdlUHsM,0,0,2,0,0,1,0,0,1,0,0,2,17:30,A7,Michael,Advanced,Python,AdvancedPython,8,2,2,0
recqKYENwkfVPxVZP,0,0,0,0,2,4,0,2,4,0,0,0,17:30,A9,Vivienne,Advanced,LiveCode,AdvancedLiveCode,8,0,2,2
recjvEHug0ztZM3Ub,0,0,4,0,0,4,0,0,4,0,0,4,17:30,I10,Louise,Intermediate2,Scratch,Intermediate2Scratch,8,0,0,4
recMsrIPSoJsouXyE,0,0,0,0,4,1,0,0,1,0,1,0,16:15,I13,Jenna,Intermediate1,Scratch,Intermediate1Scratch,8,3,0,1
recXlgGEg4FJXEPqN,0,0,4,0,2,0,0,0,1,0,0,1,17:30,A7,Jenna,Advanced,Python,AdvancedPython,8,2,1,1
recxTz3Q5KMOCwftH,0,0,1,0,0,1,0,0,2,0,0,2,17:30,A7,Michael,Advanced,Python,AdvancedPython,8,2,2,0
reczZSngQXKMjGIws,0,0,1,0,0,2,0,0,4,0,0,2,17:30,A11,Imaan,Advanced,LiveCode,AdvancedLiveCode,8,1,2,1
recmKlexxg7NSAlyv,0,0,4,0,0,4,0,0,4,0,0,4,17:30,I11,Liza,Intermediate2,Scratch,Intermediate2Scratch,8,0,0,4
recDi9pDG2gmyUJqX,0,0,4,0,0,4,0,0,4,0,0,4,17:30,B11,Kiah,Beginner,Scratch,BeginnerScratch,8,0,0,4
recfm5rVBiX4GmTz9,0,2,4,0,0,0,0,1,4,0,0,0,16:15,B10,Miche,Beginner,Scratch,BeginnerScratch,8,1,1,2
recvB97hkWouxf9NI,2,0,0,2,0,0,1,0,0,2,0,0,16:15,B10,Christine,Beginner,Scratch,BeginnerScratch,8,1,3,0
rectrHx3tdTNQ6x7O,0,0,4,0,0,4,0,0,4,0,0,4,17:30,B11,Kiah,Beginner,Scratch,BeginnerScratch,8,0,0,4
recOzm8XwB6CERZrC,0,0,2,0,0,2,0,0,2,0,0,2,17:30,A10,Michael,Advanced,LiveCode,AdvancedLiveCode,8,0,4,0
reckUCoIU0Zca62Nj,0,0,2,0,0,2,0,0,2,0,0,2,16:15,A11,Selasie,Advanced,LiveCode,AdvancedLiveCode,8,0,4,0
recpgAwiJKoUpL5du,0,0,2,0,0,2,0,0,2,0,0,2,17:30,A11,Imaan,Advanced,LiveCode,AdvancedLiveCode,8,0,4,0
rec7CnLGgr6boqJWS,2,0,0,2,0,0,2,0,0,2,0,0,17:30,B10,Miche,Beginner,Scratch,BeginnerScratch,8,0,4,0
recg6Numhu8Wn5exE,0,2,4,0,0,0,0,2,4,0,0,0,16:15,B13,Dieter,Beginner,Scratch,BeginnerScratch,8,0,2,2
recqxfI8qmASnwhkQ,0,0,1,0,0,1,0,0,1,0,0,2,17:30,A8,Michael,Advanced,Python,AdvancedPython,8,3,1,0
recJyj82MIQrklLeE,0,0,2,0,0,0,0,2,4,0,0,2,17:30,I9,Joseph,Intermediate2,Scratch,Intermediate2Scratch,8,0,3,1
recUqwBg5OhbHO8dW,0,0,0,0,2,2,0,0,0,0,2,2,16:15,B13,Christine,Beginner,Scratch,BeginnerScratch,8,0,4,0
recbzyRyKAiEpv6uW,0,0,0,0,2,2,0,0,0,0,2,2,16:15,I13,Jenna,Intermediate1,Scratch,Intermediate1Scratch,8,0,4,0
recpUII8UBStkYWE5,0,0,4,0,0,1,0,0,4,0,0,1,17:30,A12,Matthew,Advanced,Scratch,AdvancedScratch,8,2,0,2
reczxoeCgVOjBVjCT,0,0,0,0,0,0,0,1,1,0,4,2,16:15,A10,Michael,Advanced,LiveCode,AdvancedLiveCode,8,2,1,1
rec2pxFnHaFRu4DoA,0,0,0,0,0,0,0,2,4,0,2,4,17:30,A8,Greg,Advanced,Python,AdvancedPython,8,0,2,2
recip8KkkFULUGAL4,0,0,4,0,0,4,0,0,4,0,0,4,17:30,A12,David,Advanced,Scratch,AdvancedScratch,8,0,0,4
recbXVsoAY6ck9gPW,0,0,2,0,1,2,0,0,2,0,0,0,17:30,A7,Michael,Advanced,Python,AdvancedPython,8,1,3,0
